Date,equity,bond,gold,cash
2022-02-01,9534.9501953125,97.98737335205078,168.22999572753906,77.247802734375
2022-02-02,9624.8896484375,98.18804931640625,168.83999633789062,77.25625610351562
2022-02-03,9390.5703125,97.76927185058594,168.60000610351562,77.25625610351562
2022-02-04,9440.580078125,97.01890563964844,168.86000061035156,77.23936462402344
2022-02-07,9405.83984375,97.04509735107422,170.11000061035156,77.23936462402344
2022-02-08,9484.9501953125,96.73098754882812,170.6300048828125,77.247802734375
2022-02-09,9623.83984375,96.86186981201172,171.2100067138672,77.23936462402344
2022-02-10,9450.7197265625,95.97193908691406,170.55999755859375,77.23936462402344
2022-02-11,9271.7998046875,96.96656036376953,173.80999755859375,77.23936462402344
2022-02-14,9236.8603515625,96.29476165771484,174.74000549316406,77.23092651367188
2022-02-15,9383.5703125,96.0068130493164,173.0800018310547,77.247802734375
2022-02-16,9393.08984375,96.20748901367188,174.86000061035156,77.247802734375
2022-02-17,9195.349609375,96.72225189208984,177.25,77.23936462402344
2022-02-18,9130.8095703125,97.03636169433594,177.1199951171875,77.247802734375
2022-02-22,9038.3203125,97.0276107788086,177.49000549316406,77.247802734375
2022-02-23,8871.9501953125,96.5215835571289,178.2899932861328,77.23936462402344
2022-02-24,9005.3701171875,96.74842071533203,177.13999938964844,77.23936462402344
2022-02-25,9207.849609375,96.72225189208984,176.5500030517578,77.23936462402344
2022-02-28,9186.3701171875,97.82160186767578,178.3800048828125,77.23936462402344
2022-03-01,9044.4697265625,98.77429962158203,181.6199951171875,77.25796508789062
2022-03-02,9213.3896484375,97.28974151611328,179.72999572753906,77.25796508789062
2022-03-03,9166.1298828125,97.70892333984375,180.8000030517578,77.26643371582031
2022-03-04,9094.0400390625,98.6782455444336,183.67999267578125,77.26643371582031
2022-03-07,8825.7197265625,98.25907135009766,186.41000366210938,77.26643371582031
2022-03-08,8762.1103515625,97.62162780761719,191.50999450683594,77.26643371582031
2022-03-09,8988.650390625,97.01905059814453,185.82000732421875,77.26643371582031
2022-03-10,8950.900390625,96.57371520996094,186.39999389648438,77.26643371582031
2022-03-11,8835.400390625,96.5474853515625,185.08999633789062,77.25796508789062
2022-03-14,8771.75,95.324951171875,182.3000030517578,77.26643371582031
2022-03-15,8959.740234375,95.28124237060547,178.88999938964844,77.24951934814453
2022-03-16,9160.509765625,95.15030670166016,180.00999450683594,77.26643371582031
2022-03-17,9274.169921875,94.96691131591797,180.88999938964844,77.26643371582031
2022-03-18,9382.4296875,95.24636840820312,179.3000030517578,77.25796508789062
2022-03-21,9378.83984375,94.00631713867188,180.6699981689453,77.25796508789062
2022-03-22,9484.8603515625,93.49108123779297,179.36000061035156,77.25796508789062
2022-03-23,9368.98046875,94.11985778808594,181.80999755859375,77.27485656738281
2022-03-24,9504.1904296875,93.59590148925781,183.1300048828125,77.27485656738281
2022-03-25,9552.400390625,92.63529968261719,182.3800048828125,77.25796508789062
2022-03-28,9620.66015625,92.84488677978516,179.05999755859375,77.25796508789062
2022-03-29,9738.599609375,93.3077392578125,179.13999938964844,77.25796508789062
2022-03-30,9678.2998046875,93.67448425292969,180.5800018310547,77.27485656738281
2022-03-31,9527.4599609375,93.84915161132812,180.64999389648438,77.27485656738281
2022-04-01,9559.9501953125,93.23802185058594,179.5,77.27485656738281
2022-04-04,9637.3701171875,93.17683410644531,180.3699951171875,77.26643371582031
2022-04-05,9517.9404296875,92.06655883789062,179.24000549316406,77.25796508789062
2022-04-06,9425.490234375,91.74308013916016,179.66000366210938,77.26643371582031
2022-04-07,9466.759765625,91.51580047607422,180.33999633789062,77.26643371582031
2022-04-08,9441.83984375,91.05244445800781,181.47000122070312,77.25796508789062
2022-04-11,9282.48046875,90.61530303955078,182.3699951171875,77.26643371582031
2022-04-12,9251.0703125,91.05244445800781,183.77000427246094,77.26643371582031
2022-04-13,9356.2099609375,91.25350189208984,184.64999389648438,77.26643371582031
2022-04-14,9242.580078125,90.43170166015625,184.0399932861328,77.25796508789062
2022-04-18,9240.6904296875,90.16943359375,184.61000061035156,77.26643371582031
2022-04-19,9389.2099609375,89.5749740600586,181.82000732421875,77.25796508789062
2022-04-20,9383.5400390625,90.27434539794922,182.7100067138672,77.27485656738281
2022-04-21,9245.8603515625,89.7760009765625,182.05999755859375,77.27485656738281
2022-04-22,8989.509765625,89.81974792480469,180.2899932861328,77.26643371582031
2022-04-25,9040.8603515625,90.39677429199219,177.0500030517578,77.27485656738281
2022-04-26,8786.4697265625,90.99995422363281,177.32000732421875,77.26643371582031
2022-04-27,8805.0,90.49291229248047,175.97999572753906,77.26643371582031
2022-04-28,9023.419921875,90.36177062988281,176.92999267578125,77.28330993652344
2022-04-29,8696.650390625,89.88093566894531,176.91000366210938,77.26643371582031
2022-05-02,8746.0498046875,89.2113265991211,173.6300048828125,77.27485656738281
2022-05-03,8788.3603515625,89.31636810302734,174.08999633789062,77.26643371582031
2022-05-04,9050.900390625,89.89405822753906,175.8000030517578,77.28330993652344
2022-05-05,8729.2099609375,88.99250030517578,175.1300048828125,77.28330993652344
2022-05-06,8680.9697265625,88.48480987548828,175.4199981689453,77.28330993652344
2022-05-09,8403.5,89.14131164550781,172.8800048828125,77.27485656738281
2022-05-10,8424.2001953125,89.43888854980469,171.4199981689453,77.27485656738281
2022-05-11,8285.8203125,89.99034118652344,172.82000732421875,77.27485656738281
2022-05-12,8278.0400390625,90.2879867553711,170.1699981689453,77.28330993652344
2022-05-13,8476.5703125,89.8152847290039,168.7899932861328,77.2917709350586
2022-05-16,8443.5498046875,90.191650390625,170.39999389648438,77.28330993652344
2022-05-17,8614.3095703125,89.50895690917969,169.3300018310547,77.28330993652344
2022-05-18,8268.3203125,90.1479263305664,169.4199981689453,77.28330993652344
2022-05-19,8220.9697265625,90.47175598144531,171.91000366210938,77.30021667480469
2022-05-20,8222.3095703125,90.89191436767578,172.02999877929688,77.30021667480469
2022-05-23,8375.8701171875,90.34048461914062,172.8300018310547,77.30021667480469
2022-05-24,8307.9697265625,91.11949157714844,174.1300048828125,77.2917709350586
2022-05-25,8386.6201171875,91.30333709716797,173.0800018310547,77.30021667480469
2022-05-26,8553.6796875,91.25955963134766,172.75999450683594,77.31713104248047
2022-05-27,8766.830078125,91.3908462524414,172.85000610351562,77.30021667480469
2022-05-31,8712.599609375,90.43678283691406,171.13999938964844,77.2917709350586
2022-06-01,8648.2802734375,89.92754364013672,172.22999572753906,77.2926254272461
2022-06-02,8809.1796875,90.05902862548828,174.35000610351562,77.30951690673828
2022-06-03,8665.7998046875,89.88373565673828,172.5800018310547,77.2926254272461
2022-06-06,8693.0595703125,89.20893096923828,171.82000732421875,77.30107116699219
2022-06-07,8776.08984375,89.5682601928711,172.94000244140625,77.2926254272461
2022-06-08,8681.6796875,89.23518371582031,172.77999877929688,77.30107116699219
2022-06-09,8475.91015625,89.1563491821289,172.22999572753906,77.30951690673828
2022-06-10,8229.4296875,88.27995300292969,174.5399932861328,77.2926254272461
2022-06-13,7910.43017578125,86.71116638183594,169.92999267578125,77.30107116699219
2022-06-14,7883.33984375,86.01881408691406,168.57000732421875,77.2926254272461
2022-06-15,7998.6201171875,87.21947479248047,170.77000427246094,77.30107116699219
2022-06-16,7739.39013671875,87.7891616821289,172.69000244140625,77.3179702758789
2022-06-17,7756.58984375,87.81546020507812,171.27000427246094,77.30951690673828
2022-06-21,7946.89013671875,87.35971069335938,170.6300048828125,77.32643127441406
2022-06-22,7936.669921875,88.46395874023438,171.30999755859375,77.33488464355469
2022-06-23,8012.68017578125,88.96350860595703,170.25999450683594,77.33488464355469
2022-06-24,8257.7197265625,88.64803314208984,170.08999633789062,77.3179702758789
2022-06-27,8233.419921875,88.14847564697266,169.89999389648438,77.3179702758789
2022-06-28,8067.56005859375,88.26241302490234,169.6199951171875,77.33488464355469
2022-06-29,8062.72021484375,88.97230529785156,169.49000549316406,77.34335327148438
2022-06-30,7993.43017578125,89.6558609008789,168.4600067138672,77.35179138183594
